rn,created_at,company_id,status,demo_user
103,,2,active,FALSE
129,,2,active,FALSE
148,,2,active,FALSE
258,,3,active,FALSE
271,,4,active,FALSE
332,,5,inactive,FALSE
466,2022-12-07 13:37:03.970821 UTC,5,inactive,FALSE
496,2022-12-07 13:37:06.472852 UTC,5,inactive,FALSE
559,2022-12-07 13:39:23.152891 UTC,5,inactive,FALSE
578,2022-12-07 13:39:24.922548 UTC,5,active,FALSE
629,2022-12-07 13:39:28.860572 UTC,5,inactive,FALSE
648,2022-12-07 13:39:30.597774 UTC,5,inactive,FALSE
769,2022-12-07 13:56:11.592932 UTC,5,active,FALSE
792,2022-12-07 13:56:15.045408 UTC,5,inactive,FALSE
905,2023-03-09 10:55:25.649545 UTC,7,inactive,FALSE
918,2023-03-09 10:55:38.309174 UTC,7,inactive,FALSE
942,2023-03-09 11:04:51.856805 UTC,7,inactive,FALSE
1004,2023-03-09 11:06:12.383580 UTC,7,inactive,FALSE
1138,2023-03-13 08:54:00.549609 UTC,3,active,FALSE
1147,2023-03-20 13:38:39.486325 UTC,3,active,FALSE
13,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
25,2022-07-09 07:12:00.650758 UTC,2,active,FALSE
54,2022-07-09 07:14:55.459613 UTC,10,active,FALSE
63,2022-07-09 07:14:55.459613 UTC,2,active,FALSE
75,2022-07-09 07:14:55.459613 UTC,3,active,FALSE
124,2022-07-09 07:17:56.295500 UTC,3,active,FALSE
181,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
382,2022-12-07 13:36:48.856847 UTC,5,inactive,FALSE
392,2022-12-07 13:36:49.220876 UTC,5,deleted,FALSE
460,2022-12-07 13:37:03.699783 UTC,5,inactive,FALSE
511,2022-12-07 13:37:07.602203 UTC,5,deleted,FALSE
587,2022-12-07 13:39:25.181698 UTC,5,inactive,FALSE
603,2022-12-07 13:39:26.839192 UTC,5,inactive,FALSE
654,2022-12-07 13:39:30.919731 UTC,5,inactive,FALSE
686,2022-12-07 13:39:35.111220 UTC,5,inactive,FALSE
711,2022-12-07 13:39:36.893768 UTC,5,inactive,
774,2022-12-07 13:56:11.919471 UTC,5,inactive,
818,2023-01-17 09:31:17.915415 UTC,10,active,
844,2023-02-13 16:18:30.292970 UTC,10,active,
853,2023-02-28 13:58:11.136942 UTC,2,active,
982,2023-03-09 11:05:41.126511 UTC,7,inactive,
985,2023-03-09 11:05:45.908232 UTC,7,inactive,
1043,2023-03-09 11:07:04.511085 UTC,7,inactive,
1044,2023-03-09 11:07:05.447305 UTC,7,inactive,FALSE
1115,2023-03-09 11:15:07.993231 UTC,7,inactive,FALSE
1161,2023-04-03 15:48:29.445173 UTC,10,active,FALSE
1179,2023-04-21 09:26:00.668374 UTC,5,inactive,FALSE
39,2022-07-09 07:12:00.650758 UTC,3,active,FALSE
97,2022-07-09 07:17:56.295500 UTC,10,active,FALSE
144,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
164,2022-07-09 07:20:52.769056 UTC,3,active,FALSE
180,2022-07-09 07:20:52.769056 UTC,3,deleted,FALSE
311,2022-11-02 07:50:00.971473 UTC,2,active,FALSE
344,2022-12-07 13:36:45.266641 UTC,5,inactive,FALSE
346,2022-12-07 13:36:45.291482 UTC,5,inactive,FALSE
370,2022-12-07 13:36:47.376391 UTC,5,inactive,FALSE
411,2022-12-07 13:36:58.715446 UTC,5,inactive,FALSE
522,2022-12-07 13:37:08.778171 UTC,5,inactive,FALSE
616,2022-12-07 13:39:27.275840 UTC,5,deleted,FALSE
619,2022-12-07 13:39:27.440434 UTC,5,inactive,FALSE
658,2022-12-07 13:39:31.039845 UTC,5,inactive,FALSE
674,2022-12-07 13:39:34.457166 UTC,5,inactive,FALSE
884,2023-03-09 10:55:04.380771 UTC,7,inactive,FALSE
890,2023-03-09 10:55:10.398428 UTC,7,inactive,FALSE
951,2023-03-09 11:05:02.224149 UTC,7,inactive,FALSE
998,2023-03-09 11:06:06.021013 UTC,7,inactive,FALSE
1019,2023-03-09 11:06:33.060246 UTC,7,inactive,FALSE
1049,2023-03-09 11:07:11.035435 UTC,7,inactive,FALSE
1078,2023-03-09 11:07:46.559089 UTC,7,inactive,FALSE
1139,2023-03-13 11:14:09.504157 UTC,5,inactive,FALSE
1166,2023-04-06 07:53:33.411135 UTC,3,active,FALSE
1167,2023-04-07 08:08:37.237684 UTC,3,active,FALSE
1186,2023-05-03 13:21:38.339175 UTC,4,active,FALSE
83,2022-07-09 07:14:55.459613 UTC,2,active,FALSE
191,2022-07-09 07:23:47.967170 UTC,10,active,FALSE
221,2022-07-09 07:23:47.967170 UTC,3,active,FALSE
508,2022-12-07 13:37:07.500513 UTC,5,inactive,FALSE
551,2022-12-07 13:37:16.479204 UTC,5,inactive,FALSE
574,2022-12-07 13:39:23.413037 UTC,5,inactive,FALSE
583,2022-12-07 13:39:25.055180 UTC,5,inactive,FALSE
666,2022-12-07 13:39:33.161598 UTC,5,inactive,FALSE
706,2022-12-07 13:39:36.745140 UTC,5,inactive,FALSE
718,2022-12-07 13:39:38.066456 UTC,5,inactive,FALSE
760,2022-12-07 13:56:10.648472 UTC,5,inactive,FALSE
887,2023-03-09 10:55:07.468452 UTC,7,inactive,FALSE
1053,2023-03-09 11:07:15.977418 UTC,7,inactive,FALSE
1068,2023-03-09 11:07:36.416400 UTC,7,inactive,FALSE
1143,2023-03-15 08:52:14.195541 UTC,5,inactive,FALSE
1158,2023-04-03 12:40:55.035727 UTC,5,inactive,FALSE
147,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
150,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
279,2022-10-04 12:46:41.748998 UTC,3,active,FALSE
338,2022-12-07 13:36:45.078326 UTC,5,inactive,FALSE
398,2022-12-07 13:36:49.549590 UTC,5,inactive,FALSE
408,2022-12-07 13:36:53.583010 UTC,5,inactive,FALSE
421,2022-12-07 13:37:00.490877 UTC,5,inactive,FALSE
428,2022-12-07 13:37:00.899956 UTC,5,inactive,FALSE
480,2022-12-07 13:37:05.270759 UTC,5,deleted,FALSE
502,2022-12-07 13:37:07.118501 UTC,5,active,FALSE
531,2022-12-07 13:37:09.270342 UTC,5,inactive,FALSE
582,2022-12-07 13:39:25.013011 UTC,5,inactive,FALSE
608,2022-12-07 13:39:27.124088 UTC,5,inactive,FALSE
638,2022-12-07 13:39:29.185750 UTC,5,inactive,FALSE
659,2022-12-07 13:39:31.081699 UTC,5,inactive,FALSE
667,2022-12-07 13:39:33.287546 UTC,5,inactive,FALSE
745,2022-12-07 13:56:08.654257 UTC,5,inactive,FALSE
870,2023-03-09 10:54:46.625726 UTC,7,inactive,FALSE
912,2023-03-09 10:55:32.504859 UTC,7,inactive,FALSE
926,2023-03-09 10:55:45.890694 UTC,7,inactive,FALSE
968,2023-03-09 11:05:24.350288 UTC,7,inactive,FALSE
1002,2023-03-09 11:06:10.414927 UTC,7,inactive,FALSE
1009,2023-03-09 11:06:18.920791 UTC,7,inactive,FALSE
1021,2023-03-09 11:06:35.506938 UTC,7,inactive,FALSE
1029,2023-03-09 11:06:45.957366 UTC,7,inactive,FALSE
1055,2023-03-09 11:07:17.902376 UTC,7,inactive,FALSE
1096,2023-03-09 11:08:03.071511 UTC,7,inactive,FALSE
23,2022-07-09 07:12:00.650758 UTC,2,active,FALSE
33,2022-07-09 07:12:00.650758 UTC,3,active,FALSE
122,2022-07-09 07:17:56.295500 UTC,3,active,FALSE
123,2022-07-09 07:17:56.295500 UTC,3,active,FALSE
163,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
251,2022-08-04 05:49:58.864814 UTC,10,active,FALSE
294,2022-10-24 08:40:30.455390 UTC,3,active,FALSE
326,2022-12-06 09:05:12.795136 UTC,2,active,FALSE
364,2022-12-07 13:36:47.154696 UTC,5,inactive,FALSE
365,2022-12-07 13:36:47.203906 UTC,5,inactive,FALSE
461,2022-12-07 13:37:03.726984 UTC,5,inactive,FALSE
632,2022-12-07 13:39:29.032665 UTC,5,inactive,FALSE
682,2022-12-07 13:39:34.954686 UTC,5,inactive,FALSE
787,2022-12-07 13:56:13.532813 UTC,5,deleted,FALSE
798,2022-12-20 12:41:25.534937 UTC,5,inactive,FALSE
805,2023-01-03 13:23:22.857036 UTC,5,inactive,FALSE
839,2023-02-09 09:10:45.947053 UTC,3,active,FALSE
940,2023-03-09 11:04:49.291663 UTC,7,inactive,FALSE
962,2023-03-09 11:05:16.820199 UTC,7,inactive,FALSE
983,2023-03-09 11:05:43.076319 UTC,7,inactive,FALSE
995,2023-03-09 11:06:01.272858 UTC,7,inactive,FALSE
1073,2023-03-09 11:07:41.402872 UTC,7,inactive,FALSE
1081,2023-03-09 11:07:49.336506 UTC,7,inactive,FALSE
1137,2023-03-13 08:34:10.845405 UTC,5,inactive,FALSE
109,2022-07-09 07:17:56.295500 UTC,2,active,FALSE
143,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
146,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
153,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
154,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
263,2022-09-15 07:41:14.342997 UTC,4,active,FALSE
266,2022-09-19 11:39:47.862463 UTC,4,active,FALSE
457,2022-12-07 13:37:03.453058 UTC,5,inactive,FALSE
465,2022-12-07 13:37:03.959987 UTC,5,inactive,FALSE
485,2022-12-07 13:37:05.590431 UTC,5,inactive,FALSE
606,2022-12-07 13:39:26.891086 UTC,5,inactive,FALSE
722,2022-12-07 13:39:39.383306 UTC,5,inactive,FALSE
894,2023-03-09 10:55:14.258299 UTC,7,inactive,FALSE
896,2023-03-09 10:55:16.126177 UTC,7,inactive,FALSE
989,2023-03-09 11:05:51.031901 UTC,7,inactive,FALSE
1122,2023-03-09 11:15:08.099707 UTC,7,inactive,FALSE
6,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
14,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
37,2022-07-09 07:12:00.650758 UTC,3,active,FALSE
106,2022-07-09 07:17:56.295500 UTC,2,active,FALSE
112,2022-07-09 07:17:56.295500 UTC,2,active,FALSE
232,2022-07-09 07:23:47.967170 UTC,3,active,FALSE
245,2022-07-09 07:24:36.730302 UTC,3,deleted,FALSE
293,2022-10-24 08:40:03.800670 UTC,3,active,FALSE
322,2022-11-25 12:47:01.089572 UTC,4,active,FALSE
345,2022-12-07 13:36:45.280271 UTC,5,inactive,FALSE
359,2022-12-07 13:36:46.996756 UTC,5,inactive,
385,2022-12-07 13:36:48.983995 UTC,5,inactive,
417,2022-12-07 13:36:59.925940 UTC,5,inactive,FALSE
524,2022-12-07 13:37:08.870519 UTC,5,inactive,FALSE
595,2022-12-07 13:39:25.403946 UTC,5,inactive,FALSE
623,2022-12-07 13:39:28.615896 UTC,5,inactive,FALSE
626,2022-12-07 13:39:28.681036 UTC,5,inactive,FALSE
634,2022-12-07 13:39:29.034762 UTC,5,inactive,FALSE
680,2022-12-07 13:39:34.704035 UTC,5,inactive,FALSE
834,2023-01-31 15:19:50.458647 UTC,5,inactive,FALSE
907,2023-03-09 10:55:27.764400 UTC,7,inactive,FALSE
950,2023-03-09 11:05:00.648035 UTC,7,inactive,FALSE
953,2023-03-09 11:05:04.705925 UTC,7,inactive,FALSE
1089,2023-03-09 11:07:56.520237 UTC,7,inactive,FALSE
1135,2023-03-10 08:09:03.684286 UTC,2,active,FALSE
1149,2023-03-22 05:08:33.713340 UTC,3,active,FALSE
12,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
30,2022-07-09 07:12:00.650758 UTC,2,active,FALSE
71,2022-07-09 07:14:55.459613 UTC,3,active,FALSE
92,2022-07-09 07:17:56.295500 UTC,10,active,FALSE
113,2022-07-09 07:17:56.295500 UTC,2,active,FALSE
127,2022-07-09 07:17:56.295500 UTC,3,deleted,FALSE
247,2022-07-12 07:58:31.958867 UTC,3,active,FALSE
280,2022-10-04 20:33:30.444925 UTC,4,active,FALSE
336,2022-12-07 13:36:44.966817 UTC,5,inactive,FALSE
349,2022-12-07 13:36:45.311398 UTC,5,inactive,FALSE
416,2022-12-07 13:36:59.897452 UTC,5,inactive,FALSE
433,2022-12-07 13:37:01.603132 UTC,5,inactive,FALSE
481,2022-12-07 13:37:05.301336 UTC,5,inactive,FALSE
635,2022-12-07 13:39:29.060669 UTC,5,inactive,FALSE
699,2022-12-07 13:39:36.340984 UTC,5,deleted,FALSE
700,2022-12-07 13:39:36.389637 UTC,5,inactive,FALSE
702,2022-12-07 13:39:36.598029 UTC,5,inactive,FALSE
714,2022-12-07 13:39:37.348215 UTC,5,inactive,FALSE
860,2023-03-03 12:07:58.334461 UTC,5,inactive,FALSE
883,2023-03-09 10:55:03.318384 UTC,7,inactive,FALSE
921,2023-03-09 10:55:41.232114 UTC,7,inactive,FALSE
949,2023-03-09 11:04:59.548994 UTC,7,inactive,FALSE
974,2023-03-09 11:05:31.463818 UTC,7,inactive,FALSE
979,2023-03-09 11:05:37.519954 UTC,7,inactive,FALSE
1099,2023-03-09 11:08:05.781022 UTC,7,inactive,FALSE
1123,2023-03-09 11:15:08.100105 UTC,7,inactive,FALSE
1159,2023-04-03 12:58:27.585008 UTC,3,active,FALSE
1175,2023-04-18 11:25:44.329849 UTC,5,inactive,FALSE
1184,2023-05-03 07:13:56.239147 UTC,2,active,FALSE
42,2022-07-09 07:12:00.650758 UTC,3,active,FALSE
74,2022-07-09 07:14:55.459613 UTC,3,active,FALSE
76,2022-07-09 07:14:55.459613 UTC,3,active,FALSE
94,2022-07-09 07:17:56.295500 UTC,10,active,FALSE
126,2022-07-09 07:17:56.295500 UTC,3,active,FALSE
237,2022-07-09 07:24:36.730302 UTC,10,active,FALSE
295,2022-10-24 08:41:43.782894 UTC,3,active,FALSE
300,2022-10-24 12:43:08.237119 UTC,3,active,FALSE
313,2022-11-04 08:48:41.923724 UTC,2,active,FALSE
427,2022-12-07 13:37:00.673038 UTC,5,inactive,FALSE
549,2022-12-07 13:37:11.882061 UTC,5,deleted,FALSE
614,2022-12-07 13:39:27.249653 UTC,5,inactive,FALSE
647,2022-12-07 13:39:30.393328 UTC,5,inactive,FALSE
651,2022-12-07 13:39:30.741075 UTC,5,inactive,FALSE
698,2022-12-07 13:39:36.332305 UTC,5,inactive,FALSE
713,2022-12-07 13:39:37.021275 UTC,5,inactive,FALSE
731,2022-12-07 13:56:06.776634 UTC,5,inactive,FALSE
796,2022-12-20 08:57:53.973832 UTC,2,active,FALSE
801,2023-01-01 06:25:20.707230 UTC,5,inactive,FALSE
807,2023-01-05 08:03:21.042138 UTC,5,inactive,FALSE
828,2023-01-26 08:37:40.697782 UTC,5,inactive,FALSE
930,2023-03-09 10:55:50.025275 UTC,7,inactive,FALSE
960,2023-03-09 11:05:12.868005 UTC,7,inactive,FALSE
969,2023-03-09 11:05:26.048606 UTC,7,inactive,FALSE
978,2023-03-09 11:05:35.912680 UTC,7,inactive,FALSE
1001,2023-03-09 11:06:09.448051 UTC,7,inactive,FALSE
1023,2023-03-09 11:06:38.743155 UTC,7,inactive,TRUE
1174,2023-04-18 07:20:45.132324 UTC,3,active,TRUE
5,2022-07-09 07:12:00.650758 UTC,10,active,TRUE
15,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
312,2022-11-03 07:24:35.838506 UTC,10,active,FALSE
367,2022-12-07 13:36:47.248605 UTC,5,inactive,FALSE
396,2022-12-07 13:36:49.460294 UTC,5,inactive,FALSE
424,2022-12-07 13:37:00.583819 UTC,5,inactive,FALSE
449,2022-12-07 13:37:02.749705 UTC,5,inactive,FALSE
469,2022-12-07 13:37:04.347410 UTC,5,inactive,FALSE
471,2022-12-07 13:37:04.506422 UTC,5,inactive,FALSE
534,2022-12-07 13:37:09.785228 UTC,5,inactive,FALSE
554,2022-12-07 13:37:19.883445 UTC,5,deleted,FALSE
575,2022-12-07 13:39:23.420744 UTC,5,inactive,FALSE
630,2022-12-07 13:39:28.914714 UTC,5,inactive,FALSE
708,2022-12-07 13:39:36.827104 UTC,5,inactive,FALSE
719,2022-12-07 13:39:38.311323 UTC,5,inactive,FALSE
721,2022-12-07 13:39:38.566804 UTC,5,inactive,FALSE
733,2022-12-07 13:56:06.829209 UTC,5,inactive,FALSE
800,2022-12-22 15:03:52.479933 UTC,5,active,FALSE
831,2023-01-27 11:58:50.328108 UTC,5,inactive,FALSE
856,2023-03-01 15:10:28.524325 UTC,10,active,FALSE
935,2023-03-09 11:04:43.588354 UTC,7,inactive,FALSE
984,2023-03-09 11:05:44.821282 UTC,7,inactive,FALSE
1003,2023-03-09 11:06:11.329307 UTC,7,inactive,FALSE
1106,2023-03-09 11:15:07.860426 UTC,7,inactive,FALSE
60,2022-07-09 07:14:55.459613 UTC,2,active,FALSE
86,2022-07-09 07:14:55.459613 UTC,2,active,FALSE
93,2022-07-09 07:17:56.295500 UTC,10,active,FALSE
102,2022-07-09 07:17:56.295500 UTC,2,active,FALSE
133,2022-07-09 07:17:56.295500 UTC,2,active,FALSE
224,2022-07-09 07:23:47.967170 UTC,3,active,FALSE
284,2022-10-17 07:11:11.192981 UTC,2,active,FALSE
329,2022-12-07 13:19:03.866453 UTC,5,active,FALSE
397,2022-12-07 13:36:49.507928 UTC,5,inactive,FALSE
490,2022-12-07 13:37:06.027050 UTC,5,inactive,FALSE
529,2022-12-07 13:37:09.149969 UTC,5,inactive,FALSE
599,2022-12-07 13:39:26.529569 UTC,5,inactive,FALSE
743,2022-12-07 13:56:08.613973 UTC,5,inactive,FALSE
819,2023-01-17 13:37:40.341150 UTC,2,deleted,FALSE
892,2023-03-09 10:55:12.421110 UTC,7,inactive,FALSE
910,2023-03-09 10:55:30.676751 UTC,7,inactive,FALSE
967,2023-03-09 11:05:22.546075 UTC,7,inactive,FALSE
1087,2023-03-09 11:07:54.655630 UTC,7,inactive,FALSE
1112,2023-03-09 11:15:07.983849 UTC,7,inactive,FALSE
4,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
29,2022-07-09 07:12:00.650758 UTC,2,active,FALSE
53,2022-07-09 07:14:55.459613 UTC,10,active,FALSE
85,2022-07-09 07:14:55.459613 UTC,2,active,FALSE
116,2022-07-09 07:17:56.295500 UTC,2,active,FALSE
174,2022-07-09 07:20:52.769056 UTC,3,active,FALSE
212,2022-07-09 07:23:47.967170 UTC,2,active,"""FALSE"""
335,2022-12-07 13:36:44.929591 UTC,5,inactive,FALSE
459,2022-12-07 13:37:03.665864 UTC,5,inactive,FALSE
519,2022-12-07 13:37:08.240949 UTC,5,inactive,"""FALSE"""
536,2022-12-07 13:37:09.828706 UTC,5,inactive,"""FALSE"""
617,2022-12-07 13:39:27.285108 UTC,5,inactive,"""FALSE"""
639,2022-12-07 13:39:29.194188 UTC,5,inactive,"""FALSE"""
657,2022-12-07 13:39:30.931094 UTC,5,inactive,"""FALSE"""
671,2022-12-07 13:39:33.806091 UTC,5,inactive,"""FALSE"""
681,2022-12-07 13:39:34.754658 UTC,5,inactive,"""FALSE"""
689,2022-12-07 13:39:35.129625 UTC,5,inactive,"""FALSE"""
727,2022-12-07 13:56:06.679969 UTC,5,inactive,"""FALSE"""
763,2022-12-07 13:56:10.810735 UTC,5,inactive,FALSE
880,2023-03-09 10:54:59.074324 UTC,7,inactive,FALSE
913,2023-03-09 10:55:33.567196 UTC,7,inactive,FALSE
936,2023-03-09 11:04:44.538745 UTC,7,inactive,FALSE
1034,2023-03-09 11:06:53.537561 UTC,7,inactive,FALSE
1097,2023-03-09 11:08:03.968084 UTC,7,inactive,FALSE
1148,2023-03-20 21:58:09.317111 UTC,3,active,FALSE
22,2022-07-09 07:12:00.650758 UTC,2,active,FALSE
111,2022-07-09 07:17:56.295500 UTC,2,active,FALSE
117,2022-07-09 07:17:56.295500 UTC,2,deleted,FALSE
158,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
183,2022-07-09 07:20:52.769056 UTC,2,active,FALSE
187,2022-07-09 07:23:47.967170 UTC,10,active,FALSE
211,2022-07-09 07:23:47.967170 UTC,2,active,FALSE
238,2022-07-09 07:24:36.730302 UTC,2,deleted,FALSE
275,2022-09-23 10:58:43.796563 UTC,4,deleted,FALSE
277,2022-10-03 11:03:05.313491 UTC,2,active,FALSE
291,2022-10-24 08:18:45.797658 UTC,3,active,FALSE
320,2022-11-23 09:03:06.886360 UTC,5,,FALSE
455,2022-12-07 13:37:03.391763 UTC,5,,FALSE
566,2022-12-07 13:39:23.324357 UTC,5,,FALSE
628,2022-12-07 13:39:28.847582 UTC,5,,FALSE
631,2022-12-07 13:39:29.030596 UTC,5,,FALSE
653,2022-12-07 13:39:30.856823 UTC,5,,FALSE
664,2022-12-07 13:39:32.868889 UTC,5,,FALSE
684,2022-12-07 13:39:35.040455 UTC,5,,FALSE
741,2022-12-07 13:56:08.399675 UTC,5,,FALSE
767,2022-12-07 13:56:11.041033 UTC,5,deleted,FALSE
858,2023-03-02 14:31:57.390346 UTC,5,inactive,FALSE
867,2023-03-08 11:29:02.333939 UTC,5,inactive,FALSE
915,2023-03-09 10:55:35.479581 UTC,7,inactive,FALSE
1042,2023-03-09 11:07:03.574789 UTC,7,inactive,FALSE
1130,2023-03-09 11:15:08.164275 UTC,7,inactive,FALSE
1156,2023-04-03 07:20:44.479170 UTC,5,inactive,FALSE
10,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
20,2022-07-09 07:12:00.650758 UTC,2,active,FALSE
173,2022-07-09 07:20:52.769056 UTC,3,deleted,FALSE
319,2022-11-21 10:45:22.212776 UTC,5,active,FALSE
330,2022-12-07 13:36:44.738037 UTC,5,inactive,FALSE
379,2022-12-07 13:36:48.025209 UTC,5,inactive,FALSE
426,2022-12-07 13:37:00.657760 UTC,5,inactive,FALSE
464,2022-12-07 13:37:03.940355 UTC,5,inactive,FALSE
495,2022-12-07 13:37:06.470883 UTC,5,inactive,FALSE
512,2022-12-07 13:37:07.883898 UTC,5,inactive,FALSE
548,2022-12-07 13:37:11.578569 UTC,5,inactive,FALSE
562,2022-12-07 13:39:23.239378 UTC,5,inactive,FALSE
618,2022-12-07 13:39:27.322840 UTC,5,inactive,FALSE
790,2022-12-07 13:56:14.393852 UTC,5,inactive,FALSE
881,2023-03-09 10:55:00.850943 UTC,7,inactive,FALSE
929,2023-03-09 10:55:48.923524 UTC,7,inactive,FALSE
948,2023-03-09 11:04:58.573839 UTC,7,inactive,FALSE
1045,2023-03-09 11:07:06.509532 UTC,7,inactive,FALSE
1103,2023-03-09 11:15:07.860015 UTC,7,inactive,FALSE
1105,2023-03-09 11:15:07.860233 UTC,7,inactive,FALSE
1165,2023-04-05 11:43:08.915077 UTC,2,active,FALSE
3,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
7,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
110,2022-07-09 07:17:56.295500 UTC,2,inactive,FALSE
121,2022-07-09 07:17:56.295500 UTC,3,active,FALSE
166,2022-07-09 07:20:52.769056 UTC,3,active,FALSE
190,2022-07-09 07:23:47.967170 UTC,10,active,FALSE
196,2022-07-09 07:23:47.967170 UTC,2,deleted,FALSE
283,2022-10-13 06:28:53.912273 UTC,2,active,FALSE
354,2022-12-07 13:36:45.507864 UTC,5,inactive,FALSE
394,2022-12-07 13:36:49.301751 UTC,5,inactive,FALSE
412,2022-12-07 13:36:59.704314 UTC,5,inactive,FALSE
475,2022-12-07 13:37:04.718635 UTC,5,inactive,FALSE
482,2022-12-07 13:37:05.376398 UTC,5,inactive,FALSE
637,2022-12-07 13:39:29.102748 UTC,5,inactive,FALSE
878,2023-03-09 10:54:54.885050 UTC,7,inactive,FALSE
891,2023-03-09 10:55:11.344290 UTC,7,inactive,FALSE
899,2023-03-09 10:55:19.394476 UTC,7,inactive,FALSE
77,2022-07-09 07:14:55.459613 UTC,3,active,FALSE
151,2022-07-09 07:20:52.769056 UTC,2,inactive,FALSE
171,2022-07-09 07:20:52.769056 UTC,3,active,FALSE
179,2022-07-09 07:20:52.769056 UTC,3,active,FALSE
206,2022-07-09 07:23:47.967170 UTC,2,active,FALSE
310,2022-11-01 15:48:00.794563 UTC,10,inactive,FALSE
310,2022-11-01 15:48:00.794563 UTC,10,active,TRUE
310,2023-03-09 10:54:54.885050 UTC,10,active,FALSE
310,2022-11-01 15:48:00.794563 UTC,10,deleted,FALSE
369,2022-12-07 13:36:47.322276 UTC,5,inactive,FALSE
376,2022-12-07 13:36:47.535823 UTC,5,inactive,FALSE
425,2022-12-07 13:37:00.597961 UTC,5,inactive,FALSE
429,2022-12-07 13:37:01.095393 UTC,5,inactive,FALSE
431,2022-12-07 13:37:01.456946 UTC,5,inactive,FALSE
473,2022-12-07 13:37:04.553840 UTC,5,inactive,FALSE
493,2022-12-07 13:37:06.359778 UTC,5,inactive,FALSE
627,2022-12-07 13:39:28.716027 UTC,5,inactive,FALSE
737,2022-12-07 13:56:07.724466 UTC,5,inactive,FALSE
803,2023-01-02 10:01:56.697102 UTC,3,active,FALSE
806,,5,inactive,FALSE
963,,7,inactive,FALSE
971,,7,inactive,FALSE
1005,,7,inactive,FALSE
1054,,7,inactive,FALSE
1086,,7,inactive,FALSE
1131,,7,inactive,FALSE
1177,,3,active,FALSE
27,,2,deleted,FALSE
36,,3,active,FALSE
62,,2,active,FALSE
